BusinessName,ZipCode,Email,ZipCodeRadiusforCallRail
Padgett Dallas,75215,c.hawkins@pbsdu.com,"75215,75203,75210,75226,75242,75216,75246,75202,75270,75250,75264,75265,75266,75275,75277,75283,75284,75285,75301,75303,75312,75313,75315,75320,75326,75336,75339,75354,75355,75356,75357,75359,75360,75367,75371,75372,75373,75374,75376,75378,75379,75380,75381,75382,75389,75390,75391,75392,75393,75394,75395,75397,75221,75222,75262,75263,75398,75223,75201,75267,75342,75370,75204,75260,75207,75208,75219,75227,75224,75214,75206,75217,75205,75241,75212,75233,75228,75218,75235,75209,75232,75225,75247,75211,75149,75134,75237,75150,75231,75180,75141,75238,75185,75187,75220,75253,75230,75116,75138,75041,75236,75060,75229,75243,75251,75014,75015,75016,75017,75181,75115,75137,75172,75059,75042,75123,75146,75182,75061,75240,75043,75244,75050,75051,75045,75046,75047,75049,75053,75254,75083,75085,75039,75062,75081,75249,75234,75358,75001,75080,75040,75248,75038,75006,75030,75052,75011,75106,75044,75088,75159,75154,75104,75252,75063,76155,75125,75082,75089,75287,76011,75048,76010,75126,75075,75261,75026,75086,75007,75019,76006,76014,75368,75054,76039,76018,75094,75093,76003,76004,76005,76007,76094,76096,75099,76040,76019,75074,75010,76002,75023,76051,75032,75114,76015,76099,76012,75152,76021,75087,76022,75067,76095,75098,75024,76013,75056,75025,76053,76034,75057,76001,76120,76017,75029,76065,75002,76063,75168"

Padgett Dayton,45439,jgilleland@padgettdayton.com,"45439,45409,45449,45419,45429,45417,45437,45423,45469,45479,45422,45402,45401,45412,45413,45428,45470,45475,45481,45482,45490,45441,45448,45459,45410,45420,45342,45343,45406,45405,45403,45404,45416,45440,45430,45458,45426,45432,45414,45431,45415,45345,45305,45435,45325,45327,45434,45066,45301,45370,45433,45424,45315,45005,45377,45309,45322,45324,45068,45042,45381,45341,45330,45371,45354,45036,45385,45032,45384,45054,45383,45323,45050,45070,45044,45378,45067,45338,45361,45387,45319,45344,45339,45337,45506,45316,45065,45373,45064,45311,45055,45374,45062,45034,45320,45011,45358,45004,45040,45113,45382,45314,45359"

Padgett Denver,80209,theresa@padgett303.com,"80209,80209,80208,80208,80246,80246,80206,80206,80218,80218,80203,80203,80210,80210,80223,80223,80201,80217,80201,80217,80243,80244,80248,80250,80256,80257,80259,80261,80263,80271,80273,80274,80281,80291,80299,80243,80244,80248,80250,80256,80257,80259,80261,80263,80271,80273,80274,80281,80291,80299,80264,80264,80290,80290,80222,80222,80293,80293,80224,80224,80220,80220,80294,80294,80265,80265,80205,80205,80204,80204,80202,80202,80219,80219,80230,80230,80266,80266,80150,80151,80155,80150,80151,80155,80247,80247,80113,80113,80110,80110,80231,80231,80207,80207,80211,80211,80236,80236,80237,80237,80216,80216,80040,80040,80010,80010,80214,80214,80238,80238,80212,80212,80121,80121,80226,80226,80012,80012,80232,80232,80160,80161,80165,80166,80160,80161,80165,80166,80014,80014,80034,80034,80047,80047,80045,80045,80111,80111,80044,80044,80042,80042,80046,80046,80120,80120,80235,80235,80221,80221,80123,80123,80037,80037,80041,80041,80225,80225,80215,80215,80122,80122,80227,80227,80033,80033,80036,80036,80162,80162,80030,80030,80239,80239,80001,80006,80001,80006,80002,80002,80035,80035,80011,80011,80017,80017,80003,80003,80229,80229,80024,80024,80228,80228,80013,80013,80112,80112,80128,80128,80260,80260,80004,80004,80129,80129,80163,80163,80015,80015,80130,80130,80126,80126,80031,80031,80640,80640,80124,80124,80005,80005,80233,80233,80402,80419,80402,80419,80019,80019,80234,80234,80465,80465,80401,80401,80453,80453,80614,80614,80016,80016,80018,80018,80241,80241,80022,80022,80127,80127,80125,80125,80020,80020,80131,80131,80454,80454,80038,80038,80249,80249,80021,80021,80007,80007,80602,80602,80457,80457,80134,80134,80023,80023,80601,80601,80137,80137,80108,80108,80437,80437,80027,80027,80138,80138,80603,80603,80303,80303,80025,80025,80026,80026,80109,80109,80439,80439,80433,80433,80305,80305,80516,80516,80514,80514"

Padgett Easley,29642,jmurrayhudson@bellsouth.net,"29642, 29641,29673,29657,29611,29640,29697,29614,29605,29601,29667,29617,29616,29610,29604,29612,29603,29606,29608,29602,29669,29670,29636,29613,29630,29671,29607,29609,29662,29656,29634,29631,29682,29680,29677,29633,29632,29615,29625,29683,29665,29622,29623,29650,29621,29681,29627,29687,29661,29635,29685,29672,29644,29652,29651,29679,29690,29678,29624,29689,29696"

Padgett East Bay,94541,shinji@padgetteastbay.com,"94541,94540,94543,94557,94580,94542,94544,94545,94578,94579,94577,94587,94546,94552,94603,94605,94583,94621,94555,94613,94619,94536,94502,94568,94588,94537,94601,94526,94560,94582,94602,94556,94570,94575,94606,94516,94538,94501,94610,94566,94404,94065,94586,94506,94528,94507,94063,94611,94617,94595,94604,94614,94620,94622,94623,94624,94649,94659,94660,94661,94666,94612,94539,94615,94563,94618,94401,94609,94549,94303,94607,94403,94596,94497,94064,94662,94705,94025,94608,94070,94002,94026,94704,94598,94302,94309,94402,94301,94128,94011,94720,94027,94124,94597,95002,94703,94061,94701,94712,94702,94010,94709,94089,94043,94083,94305,94035,94158,94107,94134,94306,94030,94710,94005,94708,94551,94130,94080,94105,95134,94706,94707,94110,94517,94304,94104,94111,94523,94103,94014,95036,94108,94518,94066,94119,94120,94125,94126,94137,94139,94140,94141,94142,94143,94144,94145,94146,94147,94151,94159,94160,94161,94163,94164,94172,94177,94188,94102,94041,94039,94042,94040,94023,94085,94112,95054,94109,94131,94114,94133,94530,94016,94117,94115,94127,94553,94522,94524,94527,94529,94088,94123,94086,94521,94015,94022,94062,94017,94118,94024,95131,94044,94132,94028,94519,94087,94804,94116,94805,94129,95035,94122,94803,94019,94520,95051,95132,94802,94808,94850,95052,95055,95056,95050,94121,95053,94820,94807,95133,94018,94038,95015,94513,94565,94564,95110"

Padgett East Brunswick,08816,paul.somer@yahoo.com,"08816,08850,08882,08884,08871,08902,08901,08903,08933,08989,08906,08828,08855,08904,08872,08857,08817,08810,08859,08818,08899,08837,08873,08824,08831,08852,08832,08879,08823,08840,08854,07747,08863,08862,07080,08861,07721,08875,07751,08512,08880,08820,08846,07095,10307,08830,07765,08890,08805,08528,08536,07726,07735,08835,07763,07077,08812,07063,07746,07067,08553,10309,08502,07060,07064,07730,07001,08836,07733,08540,07062,07061,07066,07065,07008,08542,08520,08544,08541,08543,07069,07023,07076,07059,10312,08535,08844,08558,08869,07734,08807,08821,08550,08504,07090,08561,07027,07728,08555,07036,07091,10308,07016,07748,07922,07758,08876,07738,07203,07722,08510,07092,07710,10314,07946,07980,08691,07718,07204,07799,10311,07938,07033,10306,07974,08853,07202,07920,07933,07978,07081,07737,10303,07701,08690,08648,07207,08870,07206,07901,08526,07083,07999,08525,07902,07208,07928,10302,07939,10313,07716,08619,07752,07205,08887,07702,07201,07727,10304,07088,07724,07704,07921,07935,07976,10310,07703,10305,07739,08534,08888,10301,07078,07041,08514,08501,07112,08638,08889,07760,07924,08551,07040,07111,07940,08629,07114,08609,07732,07977,07757,08620,07108,08601,08602,08603,08604,08605,08606,08607,08645,08646,08647,08666,08695,07002,07931,07079,07731,08610,08618,07106,07764,08527,07932,07712,08650,11252,07753,07961,08858,07750,08608,07934,07103,08625,07755,11209,07175,08885,07960,08628,08515,08611,07102,07101,07184,07188,07189,07191,07192,07193,07195,07198,07199,07740,08822,07105,07018,11214,11228,11224,07979,07039,08560,08533,07050"

Padgett Fargo,58103,carmen@padgett-fargo.com,"58103 ,58124,58122,58121,58109,58108,58107,58106,58105,58126,56562,56561,56563,58125,58104,58102,58078,56560,56529,58042,58047,56547,56525,58059,58021,58005,56580,58012,56546,58051,56536,58015,58036,56514,58004,56574,56594,58006,58077,58038,58079,56549"

Padgett Fletcher,28732,a_costa@smallbizpros.com,"28732 ,28776,28760,28704,28803,28758,28791,28792,28735,28730,28759,28727,28793,28801,28742,28810,28802,28813,28814,28815,28816,28724,28710,28806,28805,28729,28778,28726,28731,28720,28715,28804,28739,28711,28766,28770,28728,28773,28757,28768,28784,28746,28790,28787,28701,28756,28762,28748,28709,28750,28716,28718,28712,28782"

Padgett Florence (Main St.),41022,m.murphy@padgettbusinessservices.com,"41022,41018,41042,41017,45275,41025,41021,41051,41005,45051,41011,45204,41016,41048,41094,41014,45238,45233,41091,41015,45205,41012,41019,45203,41099,45214,41071,41072,41076,45001,45202,45219,41073,45225,41075,45211,41063,45220,45206,41074,45235,41080,45248,45223,45052,45254,41085,41053,45229,45207,41092,45226,45217,45232,45208,45230,45239,41001,45033,45201,45221,45222,45234,45250,45253,45258,45262,45263,45264,45267,45268,45269,45270,45271,45273,45274,45277,45280,45296,45298,45299,45999,41030,45224,45212,45209,45041,41059,45002,45247,45255,45216,45237,47038,45213,45227,47040,45030,47025,45244,47001,45231,45251,45215,41007,45236,47019,45252,45245,41033,45218,45243,41095,47020,45174,45240,41006,41035,45061,45246,45157,41046,45242,45241,45147,47022,45102,45111,45063,47032,45014,45150,41052,47018,47060,41097,45249,41086"

Padgett Fort Mill-Charlotte,29708,marbuckle@arbucklesbm.com,"29708,29716,29715,28134,28273,28278,29732,29733,29707,29734,29731,28277,28217,28210,28226,29744,29730,28209,28012,29710,28274,29745,28203,28270,28207,28208,28211,28032,28254,28246,28272,28280,28281,28282,28284,28285,28287,28204,29703,28244,28218,28219,28220,28221,28222,28224,28228,28229,28230,28231,28232,28233,28234,28235,28236,28237,28241,28242,28243,28247,28253,28255,28256,28258,28260,28265,28266,28271,28275,28288,28289,28290,28296,28297,28299,28201,28202,28101,28106,28056,28130,28214,28105,28205,28212,29704,28173,28098,28206,28104,28054,29712,28216,29726,28053,28055,29724,28120,28052,28108,28263,28227,28126,28215,28213,28079,28223,28269,28164,28262,28034,29714,29743,29729"

Padgett Fremont,94538,bonnie_rankin@hotmail.com,"94538,94537,94560,94536,94539,95002,94555,94089,95134,94586,94587,95036,94035,94043,95054,94303,94085,94544,95131,94041,94302,94309,94086,94039,94042,94088,94301,94542,94040,94306,94545,95052,95055,95056,95051,94087,94023,95035,95050,95132,94026,95053,94025,94305,95133,94566,94063,94540,94543,94557,94304,95110,94541,95101,94027,94024,94552,95112,95103,95106,95108,95109,95115,95150,95151,95152,95153,95154,95155,95156,95157,95158,95159,95160,95161,95164,95170,95172,95173,95190,95191,95193,95194,95196,95015,95113,94588,95192,95116,94022,95126,94064,95128,95117,95129,95127,94580,94061,94065,94568,95122,94579,94070,95009,95011,95125,95130,94578,94404,94028,95008,95014,95148,94002,94577,95071,95121,94403,95111,95124,94546,94583,94582,95070,95136,94062,95118,94401,94497,94603,94402,94550,95140,94605,95031,95030,94621,95032,95123,94502,94526,94506,94551,94010,94011,94613,94619,94020,95135,95119,94601,95138,94128,94528,95139,94019,95033,95120,94021,94556,94602,94030,94507,94570,94575,94606,94501,95013,95026,95044,95042,94516,94610"

Padgett Gainesville,30501,JanetK@padgettnga.com,"30501, 30503,30506,30507,30504,30566,30543,30575,30502,30567,30554,30527,30542,30564,30517,30558,30548,30510,30519,30518,30597,30531,30515,30041,30529,30549,30011,30547,30028,30528,30599,30511,30534,30533,30040,30535,30019,30024,30680,30043"

Padgett Gardner,01440,bob@padgettgardner.com,"01440,01441,01438,01473,01436,01468,01430,01475,01452,01420,01431,01331,01541,03461,01453,01368,03071,01005,01462,01474,03447,01543,01564,01469,01366,01074,01364,01522,03048,01068,03452,01464,01037,03084,01472,01523,01561,01094,01520,01378,01583,01612,01031,03033,01510,01434,01467,03465,03086,03458,01531,01355,01463,03468,01380,01450,01470,01471,01505,01432,03444,01606,01451,01379,01740,03470,01344,01609,03055,01535,01602,01605,01503,03049,01562,01072,03455,03446,01360,03082,01524,01601,01613,01614,01615,01653,01655,01546,01608,01719,01603,03047"

Padgett Goodlettsville,37072,jackmae123@aol.com,"37072,37152,37070,37189,37073,37116,37115,37207,37077,37075,37080,37216,37188,37138,37228,37172,37206,37208,37213,37219,37242,37201,37218,37234,37250,37246,37241,37236,37232,37227,37224,37222,37230,37238,37235,37244,37229,37243,37048,37202,37214,37203,37049,37240,37210,37212,37146,37209,37066,37204,37076,37015,37205,37217,37141,37215,37148,37032,37122,37211,37035,37220,37011,37121,37143,37024,37119,37013,37221,37010,42202,37027"

Padgett Goshen,40031,john@padgettjcd.com,"40031,40032,40010,40077,40055,40014,40068,40026,47104,40070,47162,40056,40059,40050,47111,40006,40058,40019,40245,40241,40018,47141,40223,47147,40067,40027,40243,40242,40011,40025,40222,40045,47163,47243,40075,40066,47130,40023,40207,40269,40065,41008,40220,40022,40299,40206,47143,40007,47172,47138,40057,47190,40205,40003,47131,47132,47133,47134,47144,47199,40218,47129,40204,47126,41098,40363,40291,40202,40285,40201,40221,40224,40225,40231,40232,40233,40250,40251,40252,40253,40255,40256,40257,40259,40261,40266,40268,40270,40280,40281,40282,40283,40287,40289,40290,40293,40294,40295,40296,40297,40041,40298,40203,40228,40217,40036,47177,40213,40212,40292,40208"

Padgett Grand Rapids,49504,mdavey@pbsgr.com,"49504,49599,49515,49518,49501,49502,49510,49514,49516,49523,49530,49555,49560,49588,49503,49534,49505,49507,49544,49509,49506,49468,49519,49528,49525,49429,49321,49418,49435,49428,49548,49508,49546,49430,49306,49512,49355,49357,49356,49401,49301,49426,49427,49315,49351,49345,49403,49404,49464,49341,49317,49316,49335,49331,49318,49323,49314,49330,49302,49460,49319,49348,49448,49451,49417,49303,49424,49333,49422,49415,49311,49423,49419,49343,48815"

Padgett Grandville,49418,padgettswgr@sbcglobal.net,"49418,49429,49468,49519,49428,49509,49427,49426,49528,49534,49548,49315,49515,49507,49504,49508,49514,49555,49530,49560,49523,49518,49588,49516,49510,49502,49501,49599,49503,49464,49506,49401,49435,49430,49505,49314,49335,49323,49544,49512,49546,49525,49316,49321,49348,49404,49356,49355,49357,49301,49460,49419,49403,49423,49424,49306,49422,49328,49311,49302,49417,49345,49351,49448,49333,49331,49317,49341,49344,49434,49318,49451,49330,49070,49010,49456"

Padgett Grayslake,60030,j_gast@smallbizpros.com,"60030,60073,60046,60060,60041,60084,60048,60031,60020,60051,60061,60002,60042,60047,60083,60085,60044,60064,60088,60087,60079,60086,60050,60045,60081,60013,60069,60099,60089,60021,60075,53179,60011,60010,60012,60095,53192,60015,60072,53102,60074,53109,60014,60039,60040,60096,53104,60037,53142,60071,60038,60055,60078,60094,53194,60004,60097,60090,53158,60067,60035,53181,53170,53101,60070,60006,53168,60008,60102,60156,60065,60062,60192,60195,60110,53152,53143,60005,53159,60173,60056,60118,60026,60169,60022,60179,60082,53157,53128,60034,60194,60159,60168,53144,53141,60098,60025,60016,60093,53171,60007,60193,60017,60107,60142,53140,60009,60136,60019,60029,60121,60122,53105,60120,60196,60043,60091,60053,60714,60123,60018,60068,60172,60157,53139"

Padgett Greeley,80631,erin@ncabi.com,"80631,80631,80638,80632,80633,80633,80632,80638,80639,80639,80646,80646,80620,80620,80634,80634,80615,80615,80622,80622,80543,80543,80546,80546,80624,80624,80645,80645,80623,80623,80551,80551,80550,80550,80651,80651,80650,80650,80534,80534,80547,80547,80528,80528,80644,80644,80610,80610,80525,80525,80539,80539,80542,80542,80524,80524,80523,80523,80553,80553,80527,80522,80527,80522,80621,80621,80538,80538,80513,80513,80526,80526"

Padgett Greenville,27858,jjpadgett@suddenlinkmail.com,"27858, 27879,27837,28590,27835,27836,27833,28513,27834,28530,27884,27817,27811,28586,27828,28538,27889,27812,27827,28554,28526,27871,27861,28580,28501,28523,28527,27825,27814,27829,27819,27892,28503,28502"

Padgett Griffin,30224,thouston@bellsouth.net,"30224, 30266,30212,30223,30295,30257,30292,30284,30205,30204,30206,30256,30248,30285,30228,30215,30250,30234,30229,30258,30253,30233,30218,30276,31097,30238,30269,30286,30236,30216,30289,30237,30214,31029,30270,30293,30252,30251"

Padgett Grove City,43123,gcinkwell@yahoo.com,"43123,43126,43223,43228,43119,43146,43204,43116,43117,43222,43137,43215,43194,43207,43212,43236,43251,43260,43266,43268,43270,43271,43272,43287,43291,43206,43216,43218,43226,43234,43279,43217,43162,43205,43210,43026,43203,43201,43221,43209,43202,43195,43199,43125,43103,43143,43220,43211,43140,43232,43227,43214,43002,43219,43224,43213,43109,43016,43235,43229,43085,43136,43017,43110,43069,43230,43231,43164,43064,43004,43068,43147,43151,43086,43081,43113,43240,43106,43065,43073,43145,43077,43054,43112,43153,43035,43154,43029,43018,43082"

Padgett Herndon,20171,vellani@cox.net,"20171,20172,20192,20191,20041,22095,22033,20190,20102,22096,20196,20170,22124,20195,20151,20194,22181,20166,20163,20167,20164,20120,20122,22182,22030,20152,22183,22185,22066,22038,22035,22180,22034,20165,22031,20148,20121,22036,20598,22032,20153,22067,20147,22102,22081,22027,22082,22116,22118,22119,20146,20149,22037,20854,20124,20143,22043,22107,22108,22109,22009,22015,22103,22106,22042,22003,22046,20859,20105,20109,20111,20108,22101,22213,22039,20818,22151,20837,22152,22044,22040,20817,20110,20812,20113,22205,20816,20169,22041,20156,20168,20175,22156,22158,22159,22160,22161,22207,22203,22312,20878,22153,22230,22240,22241,22242,22243,22244,22245,22214,22216,20155,22215,22210,22227,22226,20850,20136,22219,20874,22311,20177,20178,22150,22217,22212,20016,20810,20811,20813,20824,20825,20827,20889,20894,22246,20892,22201,22204,22304,20814,20847,20848,20849,20857,20852,20007,20057,22122,20815,22209,22206,22302,22211,20176,22310,22199,20896,22192,20839,20015,20851,20008,22315,20895,20884,20885,20898,20899,20875,20891,20037,20112,22125,22225,20050,20052,20841,20521,20877,20182,22305,20511,20880,22202,20372,20504,20036,20842,20009,20189,56901,56920,20006,20181,22303,20117,20201,20202,20203,20204,20206,20207,20208,20210,20211,20212,20213,20214,20215,20216,20217,20218,20219,20220,20221,20222,20223,20224,20226,20227,20228,20229,20230,20232,20233,20235,20237,20238,20239,20240,20241,20242,20244,20245,20250,20251,20261,20262,20265,20266,20268,20270,20277,20289,20299,20303,20306,20310,20317,20330,20340,20350,20355,20370,20373,20374,20376,20380,20388,20389,20390,20391,20392,20393,20394,20395,20398,20401,20402,20403,20404,20405,20406,20407,20408,20410,20411,20412,20413,20414,20415,20416,20418,20419,20420,20421,20422,20423,20424,20425,20427,20428,20429,20431,20433,20434,20435,20436,20437,20439,20440,20441,20442,20444,20447,20451,20453,20456,20460,20463,20468,20469,20470,20472,20501,20502,20503,20505,20506,20507,20509,20510,20515,20520,20523,20524,20525,20526,20527,20530,20531,20533,20534,20535,20536,20537,20538,20539,20540,20541,20542,20543,20544,20546,20547,20548,20549,20551,20552,20553,20554,20555,20557,20559,20560,20565,20566,20570,20571,20572,20573,20575,20576,20577,20578,20579,20580,20581,20585,20586,20590,20591,20593,20594,20597,20599,20029,20030,20039,20040,20042,20043,20044,20045,20047,20049,20053,20055,20056,20058,20060,20061,20062,20063,20065,20067,20068,20069,20070,20071,20073,20074,20075,20076,20077,20078,20080,20081,20082,20091,56904,56902,56945,20254,20314,20318,20508,20522,20500,22314,22331,22301,20005,20010,20024,22060,20026,20027,20198,20260,20252,20528,20137,22193,20012,20118,20910,20129,20301,20059,22079,20011,22306,22194,22195,20853,20038,20426,20004,20916,20907,20908,20911,20915,20918,20033,20855,20997,20001,20883,20902,20913,22313,22320,22333,22334,22332,20886,22350,20158,20066,20013,20879,20319,20022,20529,20035,20090,20159,20160,20417,20131,22307,20906,22309,20375,20897,20064,20912,20876,20838,20017,56915,20032,20901,20003,22191,56933,56944,56972,20134,20197,22308,22121,20002,20018,20745,20903,20712,22025,20020,20782,20993,20832,20787,20783,20750,20914,20830,20187,20722,21790,20744,20904,20788,20871,20119,20185,20019,20781,20742,20141,20741,20860,20616,20882,20738,20905"

Padgett Honolulu,96814,gilbert@tmgcpa.com,"96814,96839,96812,96823,96824,96828,96830,96836,96837,96838,96811,96840,96841,96843,96846,96847,96848,96849,96810,96809,96808,96807,96806,96805,96804,96803,96802,96801,96850,96859,96820,96826,96844,96815,96813,96822,96817,96898,96816,96858,96819,96821,96818,96853,96861,96701,96860,96782,96734,96795,96825,96709,96744,96706,96863,96789,96797,96707,96730,96759,96854,96786,96717,96857,96792,96762,96712"

Padgett Houston (Cypresswood),77070,bbrassell@padgetthouston.com,"77070,77070,77069,77069,77064,77064,77065,77065,77066,77066,77429,77429,77379,77379,77315,77315,77391,77391,77068,77068,77086,77086,77095,77095,77014,77041,77041,77410,77410,77090,77090,77067,77067,77375,77375,77388,77388,77040,77040,77377,77377,77038,77038,77088,77088,77433,77433,77337,77337,77084,77084,77073,77073,77060,77060,77389,77389,77091,77091,77043,77043,77080,77080,77383,77383,77387,77387,77092,77092,77037,77037,77393,77393,77380,77380,77055,77055,77362,77362,77205,77205,77449,77449,77373,77373,77018,77032,77032,77076,77076,77079,77079,77381,77381,77218,77218,77413,77413,77386,77386,77039,77039,77024,77024,77447,77447,77382,77382,77077,77077,77008,77355,77355,77353,77353,77022,77042,77042,77093,77093,77057,77057,77063,77063,77354,77354,77338,77338,77056,77056,77094,77094,77007,77493,77493,77385,77385,77027,77027,77009,77384,77384,77082,77082,77019,77396,77396,77411,77411,77450,77450,77016,77325,77347,77325,77347,77050,77050,77046,77046,77072,77072,77098,77098,77026,77026,77001,77052,77052,77204,77206,77207,77208,77210,77212,77213,77215,77216,77217,77219,77220,77221,77222,77223,77224,77225,77226,77227,77228,77229,77230,77231,77233,77234,77235,77236,77237,77238,77240,77241,77242,77243,77244,77245,77248,77249,77251,77252,77253,77254,77255,77256,77257,77258,77259,77261,77262,77263,77265,77266,77267,77268,77269,77270,77271,77272,77273,77274,77275,77277,77279,77280,77282,77284,77287,77288,77289,77290,77291,77292,77293,77297,77299,77204,77206,77207,77208,77210,77212,77213,77215,77216,77217,77219,77220,77221,77222,77223,77224,77225,77226,77227,77228,77229,77230,77231,77233,77234,77235,77236,77237,77238,77240,77241,77242,77243,77244,77245,77248,77249,77251,77252,77253,77254,77255,77256,77257,77258,77259,77261,77262,77263,77265,77266,77267,77268,77269,77270,77271,77272,77273,77274,77275,77277,77279,77280,77282,77284,77287,77288,77289,77290,77291,77292,77293,77297,77299,77203,77203,77081,77081,77201,77201,77202,77202,77401,77401,77028,77028,77036,77036,77006,77491,77492,77491,77492,77365,77365,77002,77402,77402,77074,77074,77010,77083,77083,77005,77078,77078,77020,77003,77302,77302,77030,77030,77099,77099,77004,77339,77339,77096,77096,77031,77031,77025,77025,77494,77494,77484,77484,77071,77071,77011,77054,77054,77407,77407,77035,77035,77013,77021,77023,77498,77498,77316,77316,77304,77304,77496,77496,77301,77301,77305,77305,77346,77346,77477,77477,77478,77478,77029,77029,77044,77044,77085,77085,77045,77045,77487,77487"

Padgett Houston (Cypress),77433,khatija_ms@hotmail.com,"77433,77433,77410,77410,77429,77429,77095,77095,77377,77377,77447,77447,77065,77065,77449,77449,77493,77493,77070,77070,77084,77084,77064,77064,77041,77041,77413,77413,77218,77218,77375,77375,77069,77069,77491,77492,77491,77492,77379,77379,77315,77315,77040,77040,77391,77391,77355,77355,77337,77337,77362,77362,77066,77066,77484,77484,77043,77043,77086,77086,77450,77450,77094,77094,77079,77079,77353,77353,77068,77068,77494,77494,77077,77077,77080,77080,77014,77388,77388,77446,77446,77067,77067,77082,77082,77090,77090,77354,77354,77088,77088,77038,77038,77055,77055,77423,77423,77042,77042,77389,77389,77092,77092,77091,77091,77466,77466,77411,77411,77083,77083,77024,77024,77063,77063,77072,77072,77407,77407,77393,77393,77380,77380,77382,77382,77060,77060,77073,77073,77381,77381,77018,77057,77057,77383,77383,77387,77387,77445,77445,77037,77037,77056,77056,77441,77441,77099,77099,77008,77076,77076,77036,77036,77074,77074,77498,77498,77027,77027,77373,77373,77384,77384,77205,77205,77081,77081,77022,77032,77032,77007,77478,77478,77496,77496,77031,77031,77386,77386,77401,77401,77046,77046,77039,77039,77473,77473,77019,77402,77402,77487,77487,77316,77316,77476,77476,77098,77098,77071,77071"

Padgett Huntington,25560,jordan@wvsmallbizpros.com,"25560,25569,25213,25143,25011,25177,25109,25526,25070,25168,25159,25313,25112,25064,25202,25510,25033,25082,25309,25564,25303,25312,25541,25124,25521,25523,25358,25503,25317,25321,25322,25323,25324,25325,25326,25327,25328,25329,25330,25331,25332,25333,25334,25335,25336,25337,25338,25339,25350,25356,25357,25360,25361,25362,25364,25365,25375,25392,25396,25301,25387,25003,25520,25320,25567,25314,25573,25305,25302,25545,25571,25248,25187,25311,25304,25502,25544,25389,25559,25142,25572,25169,25123,25501,25537,25529,25504,25009,25231,25245,25506,25156,25071,25315,25201,25051,25306,25026,25165,45623,25540,25107,25241,25702,25515,25154"

Padgett Huntsville,35805,cindy@padgetthuntsville.com,"35805,35808,35816,35899,35897,35896,35894,35804,35807,35812,35893,35815,35814,35895,35809,35801,35802,35806,35898,35762,35758,35810,35813,35824,35741,35757,35767,35749,35811,35763,35756,35803,35775,35759,35742,35754,35773,35748,35615,35649,35750,35613,35760,35670,35764,35761,35175,35739,35612,35671,35609,35602,35699,35774,35747,35751,35603,35601,35776,35766,38488,35620"

Padgett Inman,29349,jmurrayhudson@bellsouth.net,"29349,29348,29322,29338,29316,29385,29303,29365,29323,29336,29320,29378,29356,29377,29301,28782,28722,29334,29319,29305,29304,29333,29651,29652,28750,29687,29329,29375,29306,29307,29369,29688,28074,29330,29650,29324,29346,29368,28139,28773,28756,29690,29302,29376,29386,29615,28043,28024,28076,29609,28160,28019,29341,29373,29388,28784,28731,28114,29613,29681,28726,29607,29683,29602,29603,29604,29606,29608,29610,29612,29616,28724,28790,29374,29601,29342,29614,29662,29372,29617"

Padgett Jacksonville,32225,ricky@padgettaccounting.com,"32225,32233,32246,32224,32211,32227,32277,32266,32228,32250,32216,32206,32226,32202,32232,32201,32229,32231,32236,32238,32239,32240,32241,32245,32247,32255,32235,32207,32203,32004,32217,32208,32204,32209,32256,32257,32218,32254,32212,32205,32258,32214,32210,32223,32081,32099,32244,32067,32034,32082,32260,32219,32073,32259,32041,32006,32097,32220,32035,32222,32003,32221,32065,32095,32030,32011"

Padgett Johnstown,80534,c_schlagel@smallbizpros.com,"80534,80534,80543,80543,80542,80542,80634,80634,80651,80651,80539,80539,80623,80623,80513,80513,80550,80550,80551,80551,80528,80528,80620,80620,80504,80504,80537,80537,80525,80525,80639,80639,80632,80633,80638,80632,80633,80638,80547,80547,80546,80546,80501,80501,80502,80502,80631,80631,80520,80520,80645,80645,80538,80538,80646,80646,80530,80530,80533,80533,80526,80526,80621,80621,80503,80503,80541,80541,80523,80523,80514,80514,80522,80527,80522,80527,80553,80553,80516,80516,80615,80615,80544,80544,80521,80521,80622,80622,80524,80524,80026,80026,80650,80650,80301,80301,80515,80515"

Padgett Kalamazoo,49001,dennisg@greenfieldmts.com,"49001, 49074,49003,49005,49019,49041,49007,49008,49048,49006,49081,49002,49024,49004,49077,49009,49053,49088,49083,49071,49034,49087,49097,49012,49060,49080,49062,49016,49052,49015,49055,49078,49037,49065,49079,49051,49072,49020,49046,49070,49018,49066,49017,49067,49011,49093,49035,49050,49344,49026,49040,49014,49010,49033"

